i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
56;-0.14715635776519775;0.06795185804367065;0.06198794129203463;1.5939902005267979;2.292822115419281;0.07504684134499537;-0.06609063174262367;-0.21;0.07;5.0;0.3;0.1
57;-0.1468934267759323;0.06709601730108261;0.06287700895247082;1.6033758715405648;2.3040515937347115;0.07429996192881265;-0.0669291838989315;-0.21;0.07;5.0;0.3;0.1
58;-0.14602673053741455;0.06638122349977493;0.06317335434817616;1.6167810055764718;2.3180731056255;0.07335424066043561;-0.06796436843766662;-0.21;0.07;5.0;0.3;0.1
59;-0.14602673053741455;0.06638122349977493;0.06407553939758251;1.6273031163521292;2.3304772522507684;0.07250557911359574;-0.06886901333257293;-0.21;0.07;5.0;0.3;0.1
60;-0.14602673053741455;0.06638122349977493;0.06407553939758251;1.6273031163521292;2.3304772522507684;0.07250557911359574;-0.06886901333257293;-0.21;0.07;5.0;0.3;0.1
61;-0.14564189314842224;0.06587447226047516;0.06407553939758251;1.6273031163521292;2.3304772522507684;0.07250557911359574;-0.06886901333257293;-0.21;0.07;5.0;0.3;0.1
62;-0.14564189314842224;0.06587447226047516;0.06449020000471922;1.6348114295012892;2.338853396202337;0.07192618561631337;-0.0694739074954593;-0.21;0.07;5.0;0.3;0.1
63;-0.14387619495391846;0.06771130114793777;0.06449020000471922;1.6348114295012892;2.338853396202337;0.07192618561631337;-0.0694739074954593;-0.21;0.07;5.0;0.3;0.1
64;-0.14349642395973206;0.06680184602737427;0.0661634017883575;1.605394843063017;2.3129567016533334;0.07370101219143237;-0.06758817057709386;-0.21;0.07;5.0;0.3;0.1
65;-0.14349642395973206;0.06680184602737427;0.06658043117145097;1.6188492614078462;2.3272929560932982;0.07272451048389021;-0.06863778532906305;-0.21;0.07;5.0;0.3;0.1
66;-0.14349642395973206;0.06680184602737427;0.06658043117145097;1.6188492614078462;2.3272929560932982;0.07272451048389021;-0.06863778532906305;-0.21;0.07;5.0;0.3;0.1
67;-0.14349642395973206;0.06680184602737427;0.06658043117145097;1.6188492614078462;2.3272929560932982;0.07272451048389021;-0.06863778532906305;-0.21;0.07;5.0;0.3;0.1
68;-0.14296498894691467;0.06589613854885101;0.06716051210121537;1.6319396905595207;2.341613030152196;0.07173418942628597;-0.06967213264536778;-0.21;0.07;5.0;0.3;0.1
69;-0.14296498894691467;0.06589613854885101;0.06716051210121537;1.6319396905595207;2.341613030152196;0.07173418942628597;-0.06967213264536778;-0.21;0.07;5.0;0.3;0.1
70;-0.14296498894691467;0.06589613854885101;0.06716051210121537;1.6319396905595207;2.341613030152196;0.07173418942628597;-0.06967213264536778;-0.21;0.07;5.0;0.3;0.1
71;-0.1425197720527649;0.06542225182056427;0.06716051210121537;1.6319396905595207;2.341613030152196;0.07173418942628597;-0.06967213264536778;-0.21;0.07;5.0;0.3;0.1
72;-0.1425197720527649;0.06542225182056427;0.06763532318400745;1.638530910882659;2.349213373519601;0.07120259053249865;-0.07021531956390524;-0.21;0.07;5.0;0.3;0.1
73;-0.1425197720527649;0.06542225182056427;0.06763532318400745;1.638530910882659;2.349213373519601;0.07120259053249865;-0.07021531956390524;-0.21;0.07;5.0;0.3;0.1
74;-0.1425197720527649;0.06542225182056427;0.06763532318400745;1.638530910882659;2.349213373519601;0.07120259053249865;-0.07021531956390524;-0.21;0.07;5.0;0.3;0.1
75;-0.14120495319366455;0.06587190926074982;0.06891878987792348;1.6307301006229171;2.3441522227214735;0.071557047401963;-0.06985405476501146;-0.21;0.07;5.0;0.3;0.1
76;-0.14120495319366455;0.06587190926074982;0.06891878987792348;1.6307301006229171;2.3441522227214735;0.071557047401963;-0.06985405476501146;-0.21;0.07;5.0;0.3;0.1
77;-0.14120495319366455;0.06587190926074982;0.06891878987792348;1.6307301006229171;2.3441522227214735;0.071557047401963;-0.06985405476501146;-0.21;0.07;5.0;0.3;0.1
78;-0.14075562357902527;0.06539659947156906;0.06891878987792348;1.6307301006229171;2.3441522227214735;0.071557047401963;-0.06985405476501146;-0.21;0.07;5.0;0.3;0.1
79;-0.14075562357902527;0.06539659947156906;0.06939722589812072;1.637179141937133;2.3516269822760365;0.07103291099140467;-0.07038697007321157;-0.21;0.07;5.0;0.3;0.1
80;-0.14075562357902527;0.06539659947156906;0.06939722589812072;1.637179141937133;2.3516269822760365;0.07103291099140467;-0.07038697007321157;-0.21;0.07;5.0;0.3;0.1
81;-0.14075562357902527;0.06539659947156906;0.06939722589812072;1.637179141937133;2.3516269822760365;0.07103291099140467;-0.07038697007321157;-0.21;0.07;5.0;0.3;0.1
82;-0.13981176912784576;0.06595956534147263;0.06939722589812072;1.637179141937133;2.3516269822760365;0.07103291099140467;-0.07038697007321157;-0.21;0.07;5.0;0.3;0.1
83;-0.13981176912784576;0.06595956534147263;0.07030442991158276;1.6282985659013454;2.344698042524536;0.07151890901833027;-0.06989310161115901;-0.21;0.07;5.0;0.3;0.1
84;-0.13981176912784576;0.06595956534147263;0.07030442991158276;1.6282985659013454;2.344698042524536;0.07151890901833027;-0.06989310161115901;-0.21;0.07;5.0;0.3;0.1
85;-0.13981176912784576;0.06595956534147263;0.07030442991158276;1.6282985659013454;2.344698042524536;0.07151890901833027;-0.06989310161115901;-0.21;0.07;5.0;0.3;0.1
86;-0.1394118070602417;0.06420942395925522;0.07082530447081883;1.65264626329687;2.370170247738044;0.06971556943968459;-0.0716919756855711;-0.21;0.07;5.0;0.3;0.1
87;-0.1394118070602417;0.06420942395925522;0.07082530447081883;1.65264626329687;2.370170247738044;0.06971556943968459;-0.0716919756855711;-0.21;0.07;5.0;0.3;0.1
88;-0.1394118070602417;0.06420942395925522;0.07082530447081883;1.65264626329687;2.370170247738044;0.06971556943968459;-0.0716919756855711;-0.21;0.07;5.0;0.3;0.1
89;-0.13852369785308838;0.06387129426002502;0.07173857262758859;1.65633169696249;2.375834339663316;0.06930838336807006;-0.07208569896244768;-0.21;0.07;5.0;0.3;0.1
90;-0.13852369785308838;0.06387129426002502;0.07173857262758859;1.65633169696249;2.375834339663316;0.06930838336807006;-0.07208569896244768;-0.21;0.07;5.0;0.3;0.1
91;-0.1380603164434433;0.06332147121429443;0.07173857262758859;1.65633169696249;2.375834339663316;0.06930838336807006;-0.07208569896244768;-0.21;0.07;5.0;0.3;0.1
92;-0.1380603164434433;0.06332147121429443;0.07224901948787271;1.6633661168690173;2.383978585873288;0.06871900762118349;-0.07264776659718952;-0.21;0.07;5.0;0.3;0.1
93;-0.1380603164434433;0.06332147121429443;0.07224901948787271;1.6633661168690173;2.383978585873288;0.06871900762118349;-0.07264776659718952;-0.21;0.07;5.0;0.3;0.1
94;-0.1380603164434433;0.06332147121429443;0.07224901948787271;1.6633661168690173;2.383978585873288;0.06871900762118349;-0.07264776659718952;-0.21;0.07;5.0;0.3;0.1
95;-0.1380603164434433;0.06332147121429443;0.07224901948787271;1.6633661168690173;2.383978585873288;0.06871900762118349;-0.07264776659718952;-0.21;0.07;5.0;0.3;0.1
96;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
97;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
98;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
99;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
100;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
101;-0.13652868568897247;0.06136166676878929;0.07397739403090134;1.6878332365036708;2.4122245106067943;0.06663986582384078;-0.07455956198221995;-0.21;0.07;5.0;0.3;0.1
102;-0.1357201188802719;0.06094120815396309;0.07483022416691508;1.6921519057917958;2.418419726655191;0.06617667734531466;-0.0749709768879539;-0.21;0.07;5.0;0.3;0.1
103;-0.1357201188802719;0.06094120815396309;0.07483022416691508;1.6921519057917958;2.418419726655191;0.06617667734531466;-0.0749709768879539;-0.21;0.07;5.0;0.3;0.1
104;-0.1357201188802719;0.06094120815396309;0.07483022416691508;1.6921519057917958;2.418419726655191;0.06617667734531466;-0.0749709768879539;-0.21;0.07;5.0;0.3;0.1
105;-0.13519547879695892;0.060323573648929596;0.07483022416691508;1.6921519057917958;2.418419726655191;0.06617667734531466;-0.0749709768879539;-0.21;0.07;5.0;0.3;0.1
106;-0.13519547879695892;0.060323573648929596;0.07542777750500083;1.6994381485738455;2.427025553397857;0.06552904755560728;-0.07553769871034569;-0.21;0.07;5.0;0.3;0.1
107;-0.13519547879695892;0.060323573648929596;0.07542777750500083;1.6994381485738455;2.427025553397857;0.06552904755560728;-0.07553769871034569;-0.21;0.07;5.0;0.3;0.1
108;-0.13519547879695892;0.060323573648929596;0.07542777750500083;1.6994381485738455;2.427025553397857;0.06552904755560728;-0.07553769871034569;-0.21;0.07;5.0;0.3;0.1
109;-0.1342954933643341;0.059433821588754654;0.07542777750500083;1.6994381485738455;2.427025553397857;0.06552904755560728;-0.07553769871034569;-0.21;0.07;5.0;0.3;0.1
110;-0.1342954933643341;0.059433821588754654;0.07643831795093249;1.7094718105154825;2.4392997350944152;0.06459697130197473;-0.07633630393601627;-0.21;0.07;5.0;0.3;0.1
111;-0.1342954933643341;0.059433821588754654;0.07643831795093249;1.7094718105154825;2.4392997350944152;0.06459697130197473;-0.07633630393601627;-0.21;0.07;5.0;0.3;0.1
112;-0.1342954933643341;0.059433821588754654;0.07643831795093249;1.7094718105154825;2.4392997350944152;0.06459697130197473;-0.07633630393601627;-0.21;0.07;5.0;0.3;0.1
113;-0.13374759256839752;0.058769986033439636;0.07707491714432294;1.7170194165998318;2.448264563877893;0.06391004282141714;-0.07691232948341006;-0.21;0.07;5.0;0.3;0.1
114;-0.13374759256839752;0.058769986033439636;0.07707491714432294;1.7170194165998318;2.448264563877893;0.06391004282141714;-0.07691232948341006;-0.21;0.07;5.0;0.3;0.1
115;-0.13374759256839752;0.058769986033439636;0.07707491714432294;1.7170194165998318;2.448264563877893;0.06391004282141714;-0.07691232948341006;-0.21;0.07;5.0;0.3;0.1
116;-0.13284558057785034;0.05813388526439667;0.07806157259040766;1.7233975930744327;2.4568481536266846;0.06324751267729058;-0.0774580669790821;-0.21;0.07;5.0;0.3;0.1
117;-0.13284558057785034;0.05813388526439667;0.07806157259040766;1.7233975930744327;2.4568481536266846;0.06324751267729058;-0.0774580669790821;-0.21;0.07;5.0;0.3;0.1
118;-0.13284558057785034;0.05813388526439667;0.07806157259040766;1.7233975930744327;2.4568481536266846;0.06324751267729058;-0.0774580669790821;-0.21;0.07;5.0;0.3;0.1
119;-0.13284558057785034;0.05813388526439667;0.07806157259040766;1.7233975930744327;2.4568481536266846;0.06324751267729058;-0.0774580669790821;-0.21;0.07;5.0;0.3;0.1
120;-0.13227471709251404;0.05744238197803497;0.07873317835216809;1.73097630738835;2.4659342706187743;0.06254111854160148;-0.07802953602044135;-0.21;0.07;5.0;0.3;0.1
121;-0.13227471709251404;0.05744238197803497;0.07873317835216809;1.73097630738835;2.4659342706187743;0.06254111854160148;-0.07802953602044135;-0.21;0.07;5.0;0.3;0.1
122;-0.13227471709251404;0.05744238197803497;0.07873317835216809;1.73097630738835;2.4659342706187743;0.06254111854160148;-0.07802953602044135;-0.21;0.07;5.0;0.3;0.1
123;-0.13161607086658478;0.0564105287194252;0.07873317835216809;1.73097630738835;2.4659342706187743;0.06254111854160148;-0.07802953602044135;-0.21;0.07;5.0;0.3;0.1
124;-0.13161607086658478;0.0564105287194252;0.07955321537233945;1.742460605040569;2.4792659632501586;0.061495325805886084;-0.07885635614221546;-0.21;0.07;5.0;0.3;0.1
125;-0.13161607086658478;0.0564105287194252;0.07955321537233945;1.742460605040569;2.4792659632501586;0.061495325805886084;-0.07885635614221546;-0.21;0.07;5.0;0.3;0.1
126;-0.1313263326883316;0.0547056719660759;0.08014650583947099;1.7628035651229705;2.5009502073037986;0.05977106215252174;-0.08017119263899836;-0.21;0.07;5.0;0.3;0.1
127;-0.1313263326883316;0.0547056719660759;0.08014650583947099;1.7628035651229705;2.5009502073037986;0.05977106215252174;-0.08017119263899836;-0.21;0.07;5.0;0.3;0.1
128;-0.1313263326883316;0.0547056719660759;0.08014650583947099;1.7628035651229705;2.5009502073037986;0.05977106215252174;-0.08017119263899836;-0.21;0.07;5.0;0.3;0.1
129;-0.1313263326883316;0.0547056719660759;0.08014650583947099;1.7628035651229705;2.5009502073037986;0.05977106215252174;-0.08017119263899836;-0.21;0.07;5.0;0.3;0.1
130;-0.1298946738243103;0.05462292581796646;0.08156787169047258;1.7604499721238371;2.501826133483315;0.05970081518545326;-0.08022351691488197;-0.21;0.07;5.0;0.3;0.1
131;-0.1298946738243103;0.05462292581796646;0.08156787169047258;1.7604499721238371;2.501826133483315;0.05970081518545326;-0.08022351691488197;-0.21;0.07;5.0;0.3;0.1
132;-0.1298946738243103;0.05462292581796646;0.08156787169047258;1.7604499721238371;2.501826133483315;0.05970081518545326;-0.08022351691488197;-0.21;0.07;5.0;0.3;0.1
133;-0.12932302057743073;0.05386875569820404;0.08156787169047258;1.7604499721238371;2.501826133483315;0.05970081518545326;-0.08022351691488197;-0.21;0.07;5.0;0.3;0.1
134;-0.12932302057743073;0.05386875569820404;0.08227388438304034;1.7681424060371838;2.511131233345985;0.05895175354619247;-0.08077555789859321;-0.21;0.07;5.0;0.3;0.1
135;-0.12932302057743073;0.05386875569820404;0.08227388438304034;1.7681424060371838;2.511131233345985;0.05895175354619247;-0.08077555789859321;-0.21;0.07;5.0;0.3;0.1
136;-0.12821710109710693;0.05322815105319023;0.08227388438304034;1.7681424060371838;2.511131233345985;0.05895175354619247;-0.08077555789859321;-0.21;0.07;5.0;0.3;0.1
137;-0.12821710109710693;0.05322815105319023;0.08348495355484982;1.7730694905352822;2.5188378735765093;0.058327500912503216;-0.08122747464560214;-0.21;0.07;5.0;0.3;0.1
138;-0.12821710109710693;0.05322815105319023;0.08348495355484982;1.7730694905352822;2.5188378735765093;0.058327500912503216;-0.08122747464560214;-0.21;0.07;5.0;0.3;0.1
139;-0.12821710109710693;0.05322815105319023;0.08348495355484982;1.7730694905352822;2.5188378735765093;0.058327500912503216;-0.08122747464560214;-0.21;0.07;5.0;0.3;0.1
140;-0.12767186760902405;0.05168286710977554;0.08348495355484982;1.7730694905352822;2.5188378735765093;0.058327500912503216;-0.08122747464560214;-0.21;0.07;5.0;0.3;0.1
141;-0.12767186760902405;0.05168286710977554;0.08434120428535631;1.7897198179600922;2.5374635529241125;0.056804554412691055;-0.08229971201635898;-0.21;0.07;5.0;0.3;0.1
142;-0.12767186760902405;0.05168286710977554;0.08434120428535631;1.7897198179600922;2.5374635529241125;0.056804554412691055;-0.08229971201635898;-0.21;0.07;5.0;0.3;0.1
143;-0.12664371728897095;0.05104513466358185;0.08434120428535631;1.7897198179600922;2.5374635529241125;0.056804554412691055;-0.08229971201635898;-0.21;0.07;5.0;0.3;0.1
144;-0.12664371728897095;0.05104513466358185;0.08548424876737672;1.7943899155831808;2.5447838071451825;0.05620058301784107;-0.08271332703050188;-0.21;0.07;5.0;0.3;0.1
145;-0.12664371728897095;0.05104513466358185;0.08548424876737672;1.7943899155831808;2.5447838071451825;0.05620058301784107;-0.08271332703050188;-0.21;0.07;5.0;0.3;0.1
146;-0.12534284591674805;0.051147039979696274;0.08548424876737672;1.7943899155831808;2.5447838071451825;0.05620058301784107;-0.08271332703050188;-0.21;0.07;5.0;0.3;0.1
147;-0.12534284591674805;0.051147039979696274;0.08673100852061293;1.7899184027211323;2.5432201955465237;0.056329845780788285;-0.08262535007074166;-0.21;0.07;5.0;0.3;0.1
148;-0.12491677701473236;0.04957277700304985;0.08750100726807608;1.8064218700486745;2.5615286392271237;0.054807748129241135;-0.08364275667983251;-0.21;0.07;5.0;0.3;0.1
149;-0.12491677701473236;0.04957277700304985;0.08750100726807608;1.8064218700486745;2.5615286392271237;0.054807748129241135;-0.08364275667983251;-0.21;0.07;5.0;0.3;0.1
150;-0.12428178638219833;0.048740800470113754;0.08831514994879754;1.8139036504026218;2.5709264343926295;0.054019281952693815;-0.08415412751205593;-0.21;0.07;5.0;0.3;0.1
151;-0.12428178638219833;0.048740800470113754;0.08831514994879754;1.8139036504026218;2.5709264343926295;0.054019281952693815;-0.08415412751205593;-0.21;0.07;5.0;0.3;0.1
152;-0.12428178638219833;0.048740800470113754;0.08831514994879754;1.8139036504026218;2.5709264343926295;0.054019281952693815;-0.08415412751205593;-0.21;0.07;5.0;0.3;0.1
153;-0.12328296899795532;0.047501832246780396;0.08831514994879754;1.8139036504026218;2.5709264343926295;0.054019281952693815;-0.08415412751205593;-0.21;0.07;5.0;0.3;0.1
154;-0.12328296899795532;0.047501832246780396;0.08958800711067072;1.8246430274653007;2.5846770198524407;0.052857043031517996;-0.08488894511044566;-0.21;0.07;5.0;0.3;0.1
155;-0.12328296899795532;0.047501832246780396;0.08958800711067072;1.8246430274653007;2.5846770198524407;0.052857043031517996;-0.08488894511044566;-0.21;0.07;5.0;0.3;0.1
156;-0.12190160900354385;0.04752818122506142;0.08958800711067072;1.8246430274653007;2.5846770198524407;0.052857043031517996;-0.08488894511044566;-0.21;0.07;5.0;0.3;0.1
157;-0.12190160900354385;0.04752818122506142;0.09091924513115002;1.820547024381421;2.5837508809324885;0.05293563930759812;-0.08483995574666381;-0.21;0.07;5.0;0.3;0.1
158;-0.12190160900354385;0.04752818122506142;0.09091924513115002;1.820547024381421;2.5837508809324885;0.05293563930759812;-0.08483995574666381;-0.21;0.07;5.0;0.3;0.1
