i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
32;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.3870966188712344;0.3097735047340393;0.31603604555130005;0.321342796087265;0.3688697623672534;-0.541825606704987;1.3606022294598032;0.050781306447498266;0.04966363197180879;0.010595505834242193;0.31473986793122016;0.31709559613472427;0.5990565419197083;-0.32444527745246887;0.349647581577301;0.33922991695648014;2.8452710121662474;4.609757849970488;0.04921869355250174;-0.04895970708619449;-0.005042507020234487;0.5941605712110888;-0.3249495281544923;
33;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4145621927497642;0.3080509305000305;0.31882309913635254;0.3210645020008087;0.37214595768973846;-0.5419292255739153;1.375068590665606;0.0508686733159141;0.04989740715773669;0.00989296132895697;0.3130406712158042;0.31981239526924826;0.5905401706695557;-0.32847437262535095;0.33958888053894043;0.34072413471383295;2.8726329671758486;4.6443038343122005;0.04913132668408591;-0.049017494395093605;-0.003342529725423423;0.5856384212300463;-0.3288086255978933;
34;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4272252126079414;0.3069145381450653;0.32250505685806274;0.3205714523792267;0.3758876258654383;-0.539466914209341;1.3939853569292489;0.05090894953554011;0.05011525965296983;0.008954434249442164;0.3119260641103623;0.323400500283007;0.585926353931427;-0.33121171593666077;0.33295220136642456;0.3421761813359547;2.8877582983986003;4.666390369286125;0.0490910504644599;-0.049039124426129364;-0.002257323907362614;0.5810224414888141;-0.331437448327397;
35;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.437724599580093;0.3016350567340851;0.32821908593177795;0.32031866908073425;0.38350543553746597;-0.5436246989156608;1.4226957400044404;0.05094234186512417;0.050384683124574677;0.007517040716889988;0.30667352504654255;0.32897079000346696;0.5840279459953308;-0.33255621790885925;0.3300600051879883;0.343007775098523;2.894099900664432;4.676709545052536;0.04905765813487584;-0.049026435705695696;-0.0017499781923313727;0.5791253024247612;-0.3327312157280924;
36;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.44213738573025;0.30079385638237;0.32636237144470215;0.3216988742351532;0.3823551819316924;-0.5480193241527987;1.4133936258620434;0.05095637570853972;0.05032644025510684;0.007987592666067703;0.3058265004078807;0.3271611307113089;0.5838884115219116;-0.3320293724536896;0.32927584648132324;0.34246280054870265;2.8941180615774518;4.674121813401333;0.04904362429146029;-0.04900771951841559;-0.0018763025465582223;0.57898763957007;-0.3322170027083454;
37;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4392547695382505;0.29671594500541687;0.3309735655784607;0.32124367356300354;0.38841718309925516;-0.550795500382329;1.4362539398320742;0.050947208257746616;0.050486789050636055;0.006833897907840018;0.3017646239104805;0.3316569553692447;0.5852982401847839;-0.32974132895469666;0.3275473713874817;0.3405952639122138;2.888459269155922;4.659511356637767;0.04905279174225339;-0.04898423085964421;-0.00259258650732483;0.5803998170988195;-0.33000058760542916;
38;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4338741715089616;0.2965034544467926;0.33333054184913635;0.3213018774986267;0.3905382109109523;-0.54810051251341;1.4477853685081568;0.05093009617164265;0.05054525245453085;0.006249171973990812;0.3015579796922457;0.33395545904653545;0.5855751633644104;-0.3271852135658264;0.3287390172481537;0.33819117753271;2.8857736589955523;4.6452543527882355;0.04906990382835735;-0.04895936489806745;-0.003291815684712646;0.5806792268746036;-0.3275143951342977;
39;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4353347303598;0.29120293259620667;0.3406679928302765;0.32042157649993896;0.399563382575823;-0.5498543683812762;1.4828415730869278;0.050934741286744176;0.050737851699764226;0.004474178677734453;0.2962767177661831;0.34111541069804996;0.5848594903945923;-0.3240606486797333;0.32915496826171875;0.3349872193573352;2.885480361978524;4.6294603502223675;0.04906525871325583;-0.04889664062003239;-0.004064252535722386;0.5799698263325891;-0.32446707393330554;
40;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.4365824538327074;0.28882989287376404;0.34408462047576904;0.3203776478767395;0.40371653445413896;-0.5504435237289061;1.4987557932113946;0.050938709475418245;0.05080658479514208;0.0036664784842000623;0.29391055135327826;0.34445126832418904;0.5838702321052551;-0.32114577293395996;0.32610973715782166;0.3319168921684161;2.8861389301038014;4.615185325954291;0.04906129052458176;-0.04882969392615371;-0.004761430353954932;0.5789872627126398;-0.32162191596935547;
41;0.3;0.05;0.5;0.0;5.0;0.3;3.141592653589793;0.05;0.05;0.1;3.447420686359095;0.28594616055488586;0.3445932865142822;0.32104185223579407;0.40566436778685516;-0.5558463370962865;1.5009975174535473;0.05097317753179972;0.050849060490600465;0.00355497889046142;0.2910310666039459;0.3449487844033284;0.5812177062034607;-0.3180500268936157;0.3261280059814453;0.32825620391392657;2.8915743492628088;4.602722790166679;0.04902682246820029;-0.04873230303205355;-0.005365814245809591;0.5763444759002554;-0.3185866083181967;
