i; TZ; vz; CX; CY; k; R; D_12; D_23; v_f; v_cruis; k_f; p12; p23;px1; py1; pz1; d1; phi1; angle1; v1; vx1; vy1; vz1;px2; py2; pz2; d2; phi2; angle2; v2; vx2; vy2; vz2;px3; py3; pz3; d3; phi3; angle3; v3; vx3; vy3; vz3;
20;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.610852630339829;3.2362749325479254;0.7194642424583435;0.5830959677696228;0.07582962512969971;0.6230292620310924;0.35997785409926214;2.482256297038148;0.04846203441724737;0.029687476096536804;-0.03830434104479575;0.05;0.36670026183128357;0.04416251555085182;0.026811949908733368;0.14042488374795822;-1.250874776240567;-0.7432747774489197;0.05512902421790863;-0.037305954679957294;0.040589100219587636;0.05;0.9767365455627441;-0.1092333048582077;0.07582962512969971;0.48909063450994905;1.796035598391093;3.3123391001131193;0.0463809587244639;-0.007880959196722541;-0.0457064964128735;0.05;
21;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4834388411372184;3.3397404470593814;0.7160277962684631;0.5731300115585327;0.0802687257528305;0.6124916480326017;0.36045844376133257;2.4436125076947683;0.04805768010265522;0.03088530157502015;-0.03681900003353162;0.05;0.3711166977882385;0.061910923570394516;0.030925240367650986;0.14298205498015293;-1.1229803973758858;-0.6123429323631802;0.05584229162661974;-0.032097382282349325;0.045695947136843246;0.05;0.9777037501335144;-0.12180893868207932;0.0802687257528305;0.49298913825202856;1.8204644627443192;3.3562208285206725;0.04605624670482907;-0.009809250521882355;-0.044999516272233746;0.05;
22;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6195965463015;3.2276653508611806;0.7179142236709595;0.5784662365913391;0.08364836871623993;0.6181503019122971;0.360269319287964;2.464657031234894;0.04848980340562589;0.030374366779435075;-0.037797604118046946;0.05;0.3657444715499878;0.043223313987255096;0.029799791052937508;0.1410418441152585;-1.259327227013536;-0.7509974104840738;0.05507519339705079;-0.0375815614088336;0.04026044174865219;0.05;0.9772900938987732;-0.10943907499313354;0.08364836871623993;0.4896761632643072;1.7961927293048694;3.3154156463922937;0.04640801375956755;-0.008026218970133005;-0.04570868134339131;0.05;
23;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4889021631253538;3.3326420646029127;0.7153560519218445;0.5716304183006287;0.07692939788103104;0.6108515075089165;0.3602952888391136;2.43719769179136;0.04807500630018906;0.031132071577457274;-0.03663332294590943;0.05;0.3705907166004181;0.061269860714673996;0.032685987651348114;0.1431808592724211;-1.1286068742862403;-0.6177318762127713;0.055803629717440136;-0.032320775417493286;0.04549079649833722;0.05;0.9776764512062073;-0.1225510686635971;0.07692939788103104;0.4931465872005461;1.821936368290433;3.358479034137007;0.04607849842274306;-0.009915631931912732;-0.04499898065829455;0.05;
24;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6093511307124606;3.234784752320661;0.7164991497993469;0.5769088268280029;0.08064822107553482;0.6161945117703522;0.3590112730608413;2.456118831557523;0.04845726617892389;0.03067538183569154;-0.03751169943856991;0.05;0.3662916123867035;0.04437728971242905;0.021060282364487648;0.1408803632887437;-1.2503398576516194;-0.7422012457336395;0.0551290593212425;-0.03726238323170385;0.04062915181909057;0.05;0.9778414964675903;-0.11050543189048767;0.08064822107553482;0.4904527971412635;1.7980606972073072;3.321157219330139;0.04638564114154451;-0.008284529186137235;-0.04563983216748487;0.05;
25;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4858272557807262;3.3344927865673943;0.7129302620887756;0.5669108629226685;0.08578362315893173;0.6055800715123635;0.3592943399672884;2.4158086293182603;0.04806525450020357;0.031901970716857256;-0.03595181434295246;0.05;0.36991119384765625;0.061922188848257065;0.024419965222477913;0.1440744771217348;-1.1265329158134378;-0.6145877237911868;0.05581879169171568;-0.03218632862260125;0.04560458042478921;0.05;0.978374719619751;-0.12284404039382935;0.08578362315893173;0.4938957689953986;1.8221596047987543;3.3624442485118866;0.046072696483346956;-0.010092713141630842;-0.04495364838016335;0.05;
26;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6012254134982933;3.2425826004481246;0.7149034142494202;0.5724917650222778;0.08895697444677353;0.6114984043105761;0.3591060077100519;2.4384793746562066;0.04843146294702239;0.03131557706272548;-0.03694511113012525;0.05;0.366791307926178;0.04543045535683632;0.012316135689616203;0.140742608750683;-1.2421194057882414;-0.7341438011879167;0.05517842843622662;-0.03696688498609066;0.04096472115268121;0.05;0.9783554077148438;-0.11083726584911346;0.08895697444677353;0.49102830426660893;1.79848330094322;3.3244512021139876;0.04636114063002378;-0.008430365588330237;-0.04558820348032964;0.05;
27;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4892648317916444;3.328900584499854;0.7122361660003662;0.5656988620758057;0.08221964538097382;0.6042014504388387;0.3589242339654849;2.410032388077421;0.04807615649606553;0.03211638658876813;-0.03577505465984613;0.05;0.3699479103088379;0.06129841133952141;0.026135221123695374;0.14377427191882156;-1.1303405978261594;-0.6187553860168407;0.05579099437368283;-0.03235998998225098;0.0454473992826094;0.05;0.9782373905181885;-0.12371889501810074;0.08221964538097382;0.49398113999842763;1.8239441248535733;3.364655231843996;0.04609022861291617;-0.010195958570471161;-0.04494832146387796;0.05;
28;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.6055433404176616;3.2353559675971453;0.713381290435791;0.5711575150489807;0.08566103875637054;0.6097150827271456;0.357537857761254;2.430083005253759;0.04844517427821545;0.031633627562375304;-0.03669125942362292;0.05;0.36637187004089355;0.044697221368551254;0.0145071716979146;0.14090535374653837;-1.2480054826564075;-0.7398372888697697;0.05514263839764016;-0.0371753882176744;0.04072715409058302;0.05;0.9792348742485046;-0.11171818524599075;0.08566103875637054;0.49208436025811425;1.7998238569260325;3.331062631153389;0.046383846260761134;-0.00873585865755377;-0.04555377006853733;0.05;
29;0.3;0.05;0.5;0.0;5.0;0.5;2.0943951023931953;2.0943951023931953;0.05;0.05;0.1;1.4844122458743914;3.3332329930478624;0.7115809917449951;0.5644457340240479;0.07833858579397202;0.6027980613155137;0.358636839828848;2.4042102767177322;0.04806076704197192;0.032313780302423545;-0.035576072453678734;0.05;0.36951950192451477;0.06222991272807121;0.018273334950208664;0.144560445545004;-1.1257754060455434;-0.6132465033260146;0.05581926943235568;-0.032125408846710016;0.045648099044687966;0.05;0.9793835282325745;-0.12413446605205536;0.07833858579397202;0.4951948432715555;1.8241769080861805;3.3709520725057556;0.04607664585720389;-0.010475698892478307;-0.044870001405887136;0.05;
