i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
41;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.32979702949523926;0.35063424706459045;0.1921314150094986;0.38976072965756403;-0.45191132519923766;1.6798718330327307;0.3;0.29821714876052535;-0.0326578043527528;0.38944045924734433;0.3441026861940399;
42;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3390425741672516;0.347800076007843;0.20706313848495483;0.3832390713402877;-0.43343674003697946;1.6649415824587868;0.3;0.2986714823178703;-0.028201873165556213;0.3987768706308256;0.3421597013747318;
43;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3412477374076843;0.3648150563240051;0.23928874731063843;0.3978596564102304;-0.4104431745106147;1.7609528792257274;0.3;0.2945923970293478;-0.056703788343488035;0.4001662168135539;0.3534742986553075;
44;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3515128195285797;0.37377697229385376;0.25267159938812256;0.40219108366734396;-0.37814332754235896;1.8135986482081383;0.3;0.2912004127815631;-0.07212710721945846;0.40975290208489235;0.35935155084996206;
45;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3564058542251587;0.3632758557796478;0.22478730976581573;0.3906259413982152;-0.37642714751717193;1.7596863793010808;0.3;0.29466397608749306;-0.05633064171753509;0.4153386494426573;0.3520097274361408;
46;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3711768686771393;0.38061851263046265;0.22098010778427124;0.40182813654702265;-0.32635505444123664;1.8637042645054895;0.3;0.2872224881774442;-0.08662125769785332;0.42862136631262815;0.36329426109089197;
47;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3737630844116211;0.3717194199562073;0.2088027000427246;0.3925698486000252;-0.32738232503078674;1.8183741726577567;0.3;0.29085264882809525;-0.07351691417409123;0.43193361417724013;0.357016037121389;
48;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3819236755371094;0.3687132000923157;0.19939464330673218;0.3871581618937948;-0.30991967503923135;1.8086947415257733;0.3;0.2915506145364367;-0.07069822602743366;0.4402337984443967;0.35457355488682896;
49;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.3915874660015106;0.3654796779155731;0.19691072404384613;0.3812199791422856;-0.2883629381706347;1.79939914462184;0.3;0.2921951912033331;-0.06798507363861271;0.4500265042421772;0.35188266318785055;
50;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.39966073632240295;0.36236923933029175;0.19883039593696594;0.3760045657278334;-0.2701297704374574;1.7896101553209622;0.3;0.2928466861435334;-0.06512156643348535;0.4582300735511096;0.3493449260435947;
51;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4070499539375305;0.3600127398967743;0.20278550684452057;0.3718183480558721;-0.2526676418137449;1.7839566600398742;0.3;0.2932101686791243;-0.06346492718942855;0.4656919876733554;0.3473197544588886;
52;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.41254451870918274;0.34813788533210754;0.20046721398830414;0.35895466066248555;-0.24611652198742068;1.7160714424777812;0.3;0.2968398348876742;-0.04342939584956612;0.47191248568671756;0.33945200616219434;
53;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.41913074254989624;0.34758588671684265;0.20285794138908386;0.3568694235224768;-0.22859306672459231;1.7210585184558087;0.3;0.29661955875541923;-0.04490921245958773;0.4784546543009801;0.3386040442249251;
54;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4258943200111389;0.3478446900844574;0.2037878930568695;0.3556509246811594;-0.2099043352092361;1.732363034785095;0.3;0.29609294002785774;-0.048259412197616224;0.4851129080167105;0.33819280764493415;
55;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4326764643192291;0.3478437066078186;0.20408205687999725;0.3542988889105161;-0.19118154252696629;1.7428423775323614;0.3;0.2955709645479993;-0.05135956499197926;0.491790657228829;0.33757179360942274;
56;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.43996837735176086;0.3478510081768036;0.20546400547027588;0.3529930871949184;-0.17089520780990736;1.7551178008154973;0.3;0.29491825105553504;-0.05498386303584335;0.4989520275628679;0.3368542355696349;
57;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4475550055503845;0.34757840633392334;0.20686285197734833;0.35151276789392744;-0.14975712336781916;1.7671164416940435;0.3;0.2942373062090125;-0.058518438417850926;0.506402466792187;0.3358747186503532;
58;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4580465853214264;0.3576835095882416;0.21391694247722626;0.36013550510128;-0.11675851984885272;1.8524718290640982;0.3;0.28817731650666517;-0.08338965314124598;0.5156820486227595;0.3410055789599924;
59;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4657331109046936;0.35729917883872986;0.2152637094259262;0.35893860601375926;-0.09561288356121005;1.8664790488376424;0.3;0.2869810274534485;-0.08741790366831644;0.5231293163953833;0.33981559810506656;
60;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4763522744178772;0.3342476189136505;0.1976691633462906;0.33508310263970686;-0.07063143183867954;1.7409808719825035;0.3;0.2956660585015187;-0.05080926933322801;0.5354854861181809;0.3240857650470049;
61;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.4919152557849884;0.3259161710739136;0.19014956057071686;0.32601643157439575;-0.024801121374690416;1.7261360305419446;0.3;0.29638770908083767;-0.046414716478857754;0.5511927976011559;0.316633227778142;
62;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5027172565460205;0.3274211287498474;0.19672811031341553;0.3274324037644427;0.008298774661437466;1.7688125259343432;0.3;0.2941376308390461;-0.05901740526652312;0.5615447827138297;0.31561764769654277;
63;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.513950526714325;0.32790830731391907;0.2034129649400711;0.32820492866665896;0.042518346614092;1.8082421943407718;0.3;0.2915825789638879;-0.07056627838258203;0.5722670425071026;0.3137950516374027;
64;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5100417137145996;0.38693860173225403;0.24785669147968292;0.38706887956129704;0.02594587422094325;2.144104718710039;0.3;0.2520333169861936;-0.16272432863261987;0.5604483771118384;0.35439373600573004;
65;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.525131106376648;0.4023297429084778;0.26012030243873596;0.40311387291498196;0.06238290373343545;2.2583848305588874;0.3;0.23183363340315977;-0.19040264289943382;0.5714978330572799;0.36424921432859103;
66;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.513324499130249;0.36749255657196045;0.24863366782665253;0.3677340362447669;0.03624199878100102;2.049783319583952;0.3;0.2662386759672538;-0.13826412195216667;0.5665722343236997;0.33983973218152713;
67;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5188995599746704;0.3696686923503876;0.22312331199645996;0.37015150340270353;0.05108119613535424;2.0783480098972515;0.3;0.26218113099862184;-0.14581170922900363;0.5713357861743947;0.34050635050458683;
68;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5256074666976929;0.35937151312828064;0.2132359743118286;0.3602827039961583;0.07113601685992715;2.0412413356410815;0.3;0.26740999845562735;-0.13598489888940377;0.5790894663888183;0.33217453335039987;
69;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5336021780967712;0.3493223190307617;0.21491551399230957;0.3509347360206402;0.09589742096722652;2.0091857221186475;0.3;0.2716309528600489;-0.127344514794874;0.5879283686687811;0.3238534160717869;
70;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5421145558357239;0.34144240617752075;0.2200293242931366;0.34402987159480114;0.1227232280061358;1.9924905156045036;0.3;0.2737190421114043;-0.1227920436576217;0.5968583642580048;0.31688399744599643;
71;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5504120588302612;0.336414098739624;0.22166596353054047;0.3401702831028884;0.14874442584698921;1.9936544375924659;0.3;0.2735759363785715;-0.12311054802326145;0.6051272461059756;0.31179198913497175;
72;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5584179759025574;0.33324846625328064;0.2187603861093521;0.3383300166534381;0.1735353390248974;2.0064677700337326;0.3;0.27197606541929725;-0.12660576542574253;0.6128131889864168;0.30792731316813216;
73;0.2;0.05;0.5;0.0;7.0;0.3;0.05;0.3;0.1;0.5657896995544434;0.33142954111099243;0.21239416301250458;0.33789617530908356;0.1959555530240353;2.0260528918366663;0.3;0.2694444743845817;-0.13190782851527993;0.6196785944313596;0.30504797540793643;
