i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;bat_cf1;lighthouse_status_cf1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;bat_cf2;lighthouse_status_cf2;
27;0.2;0.05;0.014000000000000009;0.014000000000000009;5.0;0.3;3.141592653589793;0.7;0.7;3;3.194146673528754;0.21358132362365723;-0.1900147795677185;0.20526015758514404;0.2854027593094288;2.3671789313130787;3.8651182408274893;0.7696859256715027;-0.5095560394000183;-0.5768613931333636;0.1626257196836554;-0.24770091888105486;3.631671667098999;2;-0.24288910627365112;0.30579888820648193;0.2140330821275711;0.3887654872549956;-0.7218597023377508;1.2666456024441746;0.6303140743284972;0.6013836921757763;0.18876834237133486;-0.1827507370560735;0.3246757224436154;3.647507429122925;2;
28;0.2;0.05;0.01450000000000001;0.01450000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.1972185573145566;0.2099524438381195;-0.20836132764816284;0.21449904143810272;0.2964267686350122;2.4216232728701192;3.974555343432553;0.7736873429840194;-0.572472601157279;-0.5204490615015946;0.1527051837223916;-0.2604062337983223;3.631671667098999;2;-0.22688636183738708;0.3227492570877075;0.21990559995174408;0.391516257869598;-0.6643434769949091;1.3355934636098183;0.6263126570159805;0.6090684445258989;0.1459560694908544;-0.1659795173847972;0.337344864036793;3.6527860164642334;2;
29;0.2;0.05;0.01500000000000001;0.01500000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2105412897883627;0.20619399845600128;-0.21922273933887482;0.2237127721309662;0.3023498580601617;2.4569965954776922;4.039541671971358;0.7908956737062145;-0.618520240302559;-0.4928982440862125;0.14434197442574537;-0.26851256374749605;3.631671667098999;2;-0.21226371824741364;0.3362851142883301;0.22481533885002136;0.3935389717612541;-0.6156474219135315;1.3926200503140542;0.6091043262937854;0.5994613258315462;0.10795461612219708;-0.15231758566425901;0.3470805759005498;3.6527860164642334;2;
30;0.2;0.05;0.01550000000000001;0.01550000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2302153879010755;0.20201219618320465;-0.22444358468055725;0.22926688194274902;0.3039074253032294;2.4808367299879612;4.071167698098887;0.815800979338146;-0.6537550172372975;-0.4879914090700154;0.1366366944594749;-0.2732427255875588;3.631671667098999;2;-0.19853055477142334;0.34785473346710205;0.2274148315191269;0.3953084203931807;-0.5721331892905469;1.4433689385337742;0.5841990206618539;0.5794623995115142;0.07424165471369504;-0.14058431482027192;0.35527889893847153;3.6527860164642334;2;
31;0.2;0.05;0.01600000000000001;0.01600000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2442162125284306;0.19498862326145172;-0.22748219966888428;0.23633694648742676;0.30219283382077133;2.5076829887643477;4.089443045349552;0.8330938344126526;-0.6766081841726623;-0.4860521598007244;0.1273278048441855;-0.2760874156489567;3.6263930797576904;2;-0.1844288557767868;0.35707077383995056;0.228668212890625;0.3956020715261419;-0.531286105886808;1.4854118717984481;0.5669061655873473;0.5648409046165216;0.048346179300316414;-0.12794476531513466;0.3619053917699822;3.6527860164642334;2;
32;0.2;0.05;0.01650000000000001;0.01650000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.260516577215746;0.19042561948299408;-0.23015835881233215;0.2374291718006134;0.30181197306358876;2.5274336225797227;4.107289566823353;0.8527163970293632;-0.7013128069201165;-0.48506247083501103;0.12029433879098242;-0.27866460589583325;3.6158359050750732;2;-0.17108508944511414;0.3637951910495758;0.23140572011470795;0.3947177669022422;-0.49523510738411647;1.5178575419081466;0.5472836029706367;0.5465168968162007;0.028958998168300568;-0.11643339976349407;0.3666910908664059;3.642228841781616;2;
33;0.2;0.05;0.01700000000000001;0.01700000000000001;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2543785368525686;0.1770978718996048;-0.23150251805782318;0.22588969767093658;0.29560925233805013;2.569269884087204;4.118115998542493;0.8453949937254632;-0.7004569084213184;-0.47334217523998934;0.10705218105747297;-0.2788367355818221;3.6000001430511475;2;-0.15746425092220306;0.369544118642807;0.23104889690876007;0.3933511541097585;-0.45953688623981354;1.5479597671164391;0.5546050062745367;0.5544603969584861;0.012664169511531615;-0.10201821122635445;0.37081053559396016;3.642228841781616;2;
34;0.2;0.05;0.017500000000000012;0.017500000000000012;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2711381067055023;0.17926280200481415;-0.24530990421772003;0.23011860251426697;0.30860371006741943;2.5898448613498277;4.203633231260387;0.8651839489639128;-0.7556094806098088;-0.42142327695247866;0.10370185394383327;-0.28745223191296787;3.6105573177337646;2;-0.14289590716362;0.37455686926841736;0.23132361471652985;0.39142873543801593;-0.42220233912425564;1.5773726934134404;0.5348160510360871;0.5348044860555967;-0.0035171210732080575;-0.08941545855806032;0.37420515716109654;3.6369502544403076;2;
35;0.2;0.05;0.018000000000000013;0.018000000000000013;5.0;0.3;3.141592653589793;0.7;0.7;3;3.2499108790394646;0.16995981335639954;-0.2604166269302368;0.2358839213848114;0.3171870158542472;2.64197967767852;4.298500477261535;0.8400140996260972;-0.7690865846650328;-0.3378305978725405;0.09305115488989626;-0.29419968671749086;3.631671667098999;2;-0.13040737807750702;0.3777150809764862;0.23138903081417084;0.38912682938826015;-0.39129475046160156;1.5987189300367706;0.5599859003739027;0.5597676119576673;-0.015634232337433617;-0.07443061688174028;0.37615165774274284;3.6369502544403076;2;
36;0.2;0.05;0.018500000000000013;0.018500000000000013;5.0;0.3;3.141592653589793;0.7;0.7;3;3.210575651556093;0.15527375042438507;-0.2804695665836334;0.23908331990242004;0.3287702245465024;2.7125326066503757;4.426199952485138;0.7909397262673619;-0.7587695740110247;-0.22328095338164752;0.07939679302328259;-0.3027976619217982;3.6369502544403076;2;-0.11770648509263992;0.3802790343761444;0.22962576150894165;0.38656988539645326;-0.36007704897311893;1.6192196300727257;0.609060273732638;0.6083463460225713;-0.029481185869327492;-0.05687185049038279;0.3773309157892117;3.6369502544403076;2;
