i; x; y; d; phi; angle; vx; vy; CX; CY; k; R; v 
48;0.2528396248817444;-0.08384815603494644;0.0991087242784619;2.5792754081059868;4.149982607328966;-0.08459744270230037;-0.05332234698727174;0.2;0.0;0.1;0.1;0.1
49;0.2528396248817444;-0.08384815603494644;0.0991087242784619;2.5792754081059868;4.149982607328966;-0.08459744270230037;-0.05332234698727174;0.2;0.0;0.1;0.1;0.1
50;0.2528396248817444;-0.08384815603494644;0.0991087242784619;2.5792754081059868;4.149982607328966;-0.08459744270230037;-0.05332234698727174;0.2;0.0;0.1;0.1;0.1
51;0.2528396248817444;-0.08384815603494644;0.0991087242784619;2.5792754081059868;4.149982607328966;-0.08459744270230037;-0.05332234698727174;0.2;0.0;0.1;0.1;0.1
52;0.2531493306159973;-0.08363721519708633;0.09909609029044647;2.57549643520024;4.146202371024427;-0.08439526765455908;-0.05364176355709546;0.2;0.0;0.1;0.1;0.1
53;0.25257769227027893;-0.0855267122387886;0.09909609029044647;2.57549643520024;4.146202371024427;-0.08439526765455908;-0.05364176355709546;0.2;0.0;0.1;0.1;0.1
54;0.25257769227027893;-0.0855267122387886;0.10039537952936231;2.590396863671548;4.16123272841936;-0.08519195941805802;-0.05236726124700391;0.2;0.0;0.1;0.1;0.1
55;0.25257769227027893;-0.0855267122387886;0.10039537952936231;2.590396863671548;4.16123272841936;-0.08519195941805802;-0.05236726124700391;0.2;0.0;0.1;0.1;0.1
56;0.25257769227027893;-0.0855267122387886;0.10039537952936231;2.590396863671548;4.16123272841936;-0.08519195941805802;-0.05236726124700391;0.2;0.0;0.1;0.1;0.1
57;0.25257769227027893;-0.0855267122387886;0.10039537952936231;2.590396863671548;4.16123272841936;-0.08519195941805802;-0.05236726124700391;0.2;0.0;0.1;0.1;0.1
58;0.2523718774318695;-0.0855463519692421;0.10039537952936231;2.590396863671548;4.16123272841936;-0.08519195941805802;-0.05236726124700391;0.2;0.0;0.1;0.1;0.1
59;0.2523718774318695;-0.0855463519692421;0.10030449581641;2.592247418694035;4.163074195070562;-0.08528824748585671;-0.05221029439479591;0.2;0.0;0.1;0.1;0.1
60;0.2523718774318695;-0.0855463519692421;0.10030449581641;2.592247418694035;4.163074195070562;-0.08528824748585671;-0.05221029439479591;0.2;0.0;0.1;0.1;0.1
61;0.251869797706604;-0.08743670582771301;0.10030449581641;2.592247418694035;4.163074195070562;-0.08528824748585671;-0.05221029439479591;0.2;0.0;0.1;0.1;0.1
62;0.251869797706604;-0.08743670582771301;0.10166441580083979;2.606168328211523;4.177131096584967;-0.08601371209260349;-0.05100628718158887;0.2;0.0;0.1;0.1;0.1
63;0.251869797706604;-0.08743670582771301;0.10166441580083979;2.606168328211523;4.177131096584967;-0.08601371209260349;-0.05100628718158887;0.2;0.0;0.1;0.1;0.1
