i;T_Z;v_z;CX;CY;k;R;v_f;v_cruis;k_f;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;
37;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5815826058387756;0.1493610143661499;0.20747752487659454;0.17018940680292138;0.49992941675094854;1.0450478470985818;0.3;0.2594845654541282;0.1505581624857392;0.6075310623841884;0.1644168306147238;
38;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5790879726409912;0.15249790251255035;0.21962592005729675;0.17178625581573598;0.47842987660375286;1.0257025924199241;0.3;0.2565236080284849;0.1555494729147233;0.6047403334438397;0.16805284980402269;
39;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5758993625640869;0.15318603813648224;0.22988027334213257;0.17095811041768832;0.46001849424925606;1.0061720654163926;0.3;0.2534369151599857;0.16052953010019747;0.6012430540800855;0.16923899114650198;
40;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5749896764755249;0.15461689233779907;0.2346060872077942;0.17184247139197703;0.4515782934266823;0.9989271275427312;0.3;0.25226724755002866;0.16236143573377443;0.6002164012305278;0.1708530359111765;
41;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5521903038024902;0.1405005306005478;0.2620207369327545;0.1498807089322428;0.35566335668915855;0.874662688874426;0.3;0.23019817296099707;0.19237671679654708;0.5752101210985899;0.1597382022802025;
42;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5570112466812134;0.14252766966819763;0.250903457403183;0.15350706455793175;0.38050745865587887;0.9040027853833368;0.3;0.23574263968225556;0.1855408522014552;0.580585510649439;0.16108175488834314;
43;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5832767486572266;0.160272479057312;0.2245004028081894;0.18061640127656017;0.47920029404349035;1.0386665421506431;0.3;0.25851853120297985;0.15221093595617208;0.6091286017775246;0.17549357265292923;
44;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6057689785957336;0.17460337281227112;0.20362547039985657;0.2041406736312137;0.5446492271040997;1.139083466799467;0.3;0.27247511259034435;0.1255281363634431;0.6330164898547681;0.18715618644861542;
45;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5883744955062866;0.1504525989294052;0.21727588772773743;0.17448792502807503;0.5310965491427408;1.082049055665006;0.3;0.2648765198272785;0.14085605859951256;0.6148621474890145;0.16453820478935646;
46;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5925795435905457;0.15435978770256042;0.209725022315979;0.17999421088194273;0.5402464286641402;1.0988376133296887;0.3;0.26720385120623835;0.13638952269347682;0.6192999287111695;0.16799873997190812;
47;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.5948684811592102;0.15499383211135864;0.20342683792114258;0.1817226367572831;0.5492538625684535;1.1102820090354846;0.3;0.26874721458803574;0.1333226711822572;0.6217432026180137;0.16832609922958436;
48;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6063869595527649;0.16141222417354584;0.20547260344028473;0.19331862630262156;0.5827465342771238;1.160626528463682;0.3;0.27511593791917793;0.11962951434679915;0.6338985533446827;0.17337517560822574;
49;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6163374781608582;0.16113588213920593;0.23079989850521088;0.19874400956408275;0.6253282564013339;1.2114041538027216;0.3;0.28083323177179265;0.10551159146089399;0.6444208013380375;0.17168704128529533;
50;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6206818222999573;0.16211184859275818;0.24681170284748077;0.202099860682287;0.6399303351825796;1.2311792131795054;0.3;0.2828646852262196;0.0999378299337728;0.6489682908225792;0.17210563158613545;
51;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6211244463920593;0.16658148169517517;0.2540668845176697;0.20596242753847807;0.6286952854627142;1.2259985620867968;0.3;0.28234314859956416;0.10140190549927755;0.6493587612520157;0.17672167224510293;
52;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6756142973899841;0.25384801626205444;0.257649302482605;0.3086732848951429;0.6052073493161866;1.412765679079319;0.3;0.29626173673256895;0.04721211018586237;0.7052404710632411;0.2585692272806407;
53;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6630557775497437;0.24098314344882965;0.2650163769721985;0.2909640218632378;0.5948667732710737;1.3581776163053587;0.3;0.29324449971881766;0.06330610858882696;0.6923802275216254;0.24731375430771235;
54;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6472151279449463;0.22217470407485962;0.2513790428638458;0.266521843432388;0.5851887163664354;1.2935084136996202;0.3;0.2885404210345994;0.08212445086072769;0.6760691700484063;0.2303871491609324;
55;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6676520705223083;0.2295898199081421;0.22940704226493835;0.284286303145034;0.6307240797303012;1.378340905801191;0.3;0.2944612641576288;0.05738086711344788;0.6970981969380712;0.23532790661948688;
56;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6795035004615784;0.2275957614183426;0.2053162157535553;0.2898643429150177;0.6678091603537856;1.4284994148319399;0.3;0.2969678598459618;0.04254515505329826;0.7092002864461745;0.2318502769236724;
57;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6498739123344421;0.19549939036369324;0.22571665048599243;0.24633757575937895;0.6540538792709847;1.321712016226117;0.3;0.2907415681978336;0.07395498983749822;0.6789480691542255;0.20289488934744307;
58;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.654146671295166;0.19629046320915222;0.22941559553146362;0.2495819348795972;0.665712311323039;1.3396383478425975;0.3;0.2920205247265604;0.06873145668778086;0.6833487237678221;0.2031636088779303;
59;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.668866753578186;0.20208801329135895;0.22475625574588776;0.26335441059546405;0.6960803465735522;1.3977494743895402;0.3;0.295519415795759;0.051655347135928675;0.6984186951577619;0.20725354800495183;
60;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6854019165039062;0.20872090756893158;0.21436262130737305;0.27917429663154864;0.7263002486526744;1.4622510346990492;0.3;0.2982344224709775;0.03249968082000987;0.715225358751004;0.21197087565093256;
61;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6961988210678101;0.21283087134361267;0.20866245031356812;0.28946667715866703;0.7447583440738835;1.5045044793605062;0.3;0.2993410500165573;0.019872991093061884;0.7261329260694658;0.21481817045291887;
62;0.2;0.05;0.5;0.0;5.0;0.5;0.05;0.3;0.1;0.6619049906730652;0.18519245088100433;0.23968923091888428;0.2459867270162326;0.7184065641188301;1.3853927935377393;0.3;0.2948585826174623;0.05530294980216849;0.6913908489348114;0.19072274586122118;
