i;T_Z;v_z;CX;CY;k;R;D_12;v_f;v_cruis;k_f;p12;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;
35;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.44663438573233;1.5123560428619385;-1.3219941854476929;0.6529293060302734;1.3154308304588942;2.523418029217814;5.4244895475716;0.3058240619516172;-0.2315060573662085;0.19983318611116715;1.4892054371253176;-1.3020108668365762;0.6107158064842224;0.18017448484897614;0.23207752406597137;0.4521616679666937;-0.3131328922294418;1.0228829091977847;0.29417593804838277;0.2511124918963676;0.15323837293655476;0.6358270556738592;0.1954983221426316;
36;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.427753130350338;1.4760218858718872;-1.3158082962036133;0.739892303943634;1.2895949375759121;2.543600194549319;5.437115956132587;0.3054637714650551;-0.22869475269541514;0.20250142164251175;1.4531524106023457;-1.2955581540393621;0.6112895607948303;0.18031182885169983;0.23221871256828308;0.4521159762651456;-0.3118319822799289;1.0239677351871468;0.2945362285349449;0.251586333239161;0.15315321363544127;0.6364481941187464;0.19562715021524396;
37;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.411175345986618;1.4324113130569458;-1.3151476383209229;0.8208872079849243;1.2649998781062173;2.5718021811584424;5.457680348787665;0.3051474034540684;-0.22424987651661513;0.20694668568750466;1.4099863254052842;-1.2944529697521723;0.6165076494216919;0.18122708797454834;0.2330562174320221;0.45141666901647615;-0.30020778003452664;1.032287591796848;0.2948525965459316;0.25312341781245834;0.15121702630596048;0.6418199912029378;0.19634879060514437;
38;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3820743145518413;1.3513787984848022;-1.3088955879211426;0.9037804007530212;1.2177505185323825;2.6250877362953307;5.494925507839502;0.304591976342429;-0.215994505697303;0.21476183450688943;1.329779347915072;-1.2874194044704537;0.6265127062797546;0.18596011400222778;0.2345832735300064;0.45311183245550496;-0.2760232563324137;1.0644910746305767;0.29540802365757096;0.25834679424696905;0.14325792942656346;0.6523473857044515;0.20028590694488413;
39;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3213551888769977;1.242167353630066;-1.2800084352493286;0.9688876867294312;1.1415542390372841;2.6958390714394156;5.53523671774046;0.30343284179135704;-0.2063757001877209;0.22244226183350738;1.221529783611294;-1.257764209065978;0.6305636167526245;0.18838411569595337;0.23167182505130768;0.4543629414220937;-0.2659910468631729;1.0804611059839484;0.29656715820864293;0.26162414627050035;0.1396598919381727;0.6567260313796746;0.20235010488977065;
40;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.468580609253073;1.4566785097122192;-1.3087986707687378;1.4397614002227783;1.2729686332784202;2.5530588259539195;5.441461458752878;0.3062427856189024;-0.22839360874852155;0.20401226244138435;1.4338391488373672;-1.2883974445245994;0.6322823762893677;0.18977408111095428;0.23142658174037933;0.45525672026787506;-0.26154587197259355;1.0891580980438254;0.2937572143810976;0.260338580829365;0.1360776408257224;0.6583162343723041;0.20338184519352653;
41;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.426062477828662;1.3361839056015015;-1.230543851852417;1.5414421558380127;1.1424000247688217;2.6027812575915714;5.442553034054628;0.30543150864389074;-0.2275663239049496;0.2037203345198281;1.3134272732110066;-1.2101718184004342;0.6353033185005188;0.19118906557559967;0.23000112175941467;0.45585427532322675;-0.25434157175935246;1.0992095703576612;0.29456849135610924;0.2624159121851615;0.13382258827209922;0.6615449097190349;0.2045713244028096;
42;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.3982679769351845;1.2700477838516235;-1.195478916168213;1.7278207540512085;1.0790644459009868;2.638721525638786;5.44775688773707;0.3049010614572525;-0.2261097454842755;0.20454593683276973;1.247436809303196;-1.175024322484936;0.6383749842643738;0.19420157372951508;0.23469877243041992;0.45801220752481764;-0.2461958046056159;1.1176667882446791;0.2950989385427475;0.26531798264343665;0.1291888215561753;0.6649067825287175;0.20712045588513261;
43;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.304842903608225;1.1077955961227417;-1.0840376615524292;1.830411672592163;0.907544219028843;2.7363454980441824;5.4217224863406255;0.3031175731787391;-0.23000444778206772;0.19742901805518442;1.0847951513445349;-1.0642947597469108;0.6403167247772217;0.19436006247997284;0.23509125411510468;0.45769671835266756;-0.24199690552717873;1.1203553116998837;0.29688242682126087;0.26726994509852714;0.12925150599630014;0.6670437192870744;0.20728521307960285;
44;0.2;0.05;0.75;-0.25;5.0;0.5;3.141592653589793;0.3;0.3;0.1;3.1574895740799365;0.9045811891555786;-0.9417456984519958;1.9130784273147583;0.7088070649814323;2.9217393999120054;5.2994738868852185;0.30030360856136173;-0.25002046922803767;0.16634909762895453;0.8795791422327749;-0.9251107886891003;0.6426301002502441;0.1969704031944275;0.23850983381271362;0.459685584616335;-0.2357501741679338;1.136139438362206;0.29969639143863824;0.2718289965179957;0.12620191636168193;0.6698129999020437;0.2095905948305957;
